[2024-05-09 23:49:37,937][train_prior.py][line:134][INFO] Epoch:00, 00160/64000, loss: 104.0306, time: 11.517, lr: [0.0002]
[2024-05-09 23:49:44,996][train_prior.py][line:134][INFO] Epoch:00, 00320/64000, loss: 104.9915, time: 7.060, lr: [0.0002]
[2024-05-09 23:49:52,125][train_prior.py][line:134][INFO] Epoch:00, 00480/64000, loss: 105.9406, time: 7.129, lr: [0.0002]
[2024-05-09 23:49:59,286][train_prior.py][line:134][INFO] Epoch:00, 00640/64000, loss: 106.9353, time: 7.161, lr: [0.0002]
[2024-05-09 23:50:06,331][train_prior.py][line:134][INFO] Epoch:00, 00800/64000, loss: 106.7460, time: 7.043, lr: [0.0002]
[2024-05-09 23:50:13,461][train_prior.py][line:134][INFO] Epoch:00, 00960/64000, loss: 107.7700, time: 7.132, lr: [0.0002]
[2024-05-09 23:50:20,610][train_prior.py][line:134][INFO] Epoch:00, 01120/64000, loss: 107.5459, time: 7.149, lr: [0.0002]
[2024-05-09 23:50:27,799][train_prior.py][line:134][INFO] Epoch:00, 01280/64000, loss: 107.3869, time: 7.190, lr: [0.0002]
[2024-05-09 23:50:34,971][train_prior.py][line:134][INFO] Epoch:00, 01440/64000, loss: 107.8481, time: 7.172, lr: [0.0002]
[2024-05-09 23:50:42,100][train_prior.py][line:134][INFO] Epoch:00, 01600/64000, loss: 108.0391, time: 7.129, lr: [0.0002]
[2024-05-09 23:50:49,223][train_prior.py][line:134][INFO] Epoch:00, 01760/64000, loss: 108.2293, time: 7.123, lr: [0.0002]
[2024-05-09 23:50:56,371][train_prior.py][line:134][INFO] Epoch:00, 01920/64000, loss: 108.6630, time: 7.148, lr: [0.0002]
[2024-05-09 23:51:03,467][train_prior.py][line:134][INFO] Epoch:00, 02080/64000, loss: 108.3673, time: 7.096, lr: [0.0002]
[2024-05-09 23:51:10,553][train_prior.py][line:134][INFO] Epoch:00, 02240/64000, loss: 108.3272, time: 7.087, lr: [0.0002]
[2024-05-09 23:51:17,682][train_prior.py][line:134][INFO] Epoch:00, 02400/64000, loss: 108.5710, time: 7.128, lr: [0.0002]
[2024-05-09 23:51:24,881][train_prior.py][line:134][INFO] Epoch:00, 02560/64000, loss: 108.4183, time: 7.199, lr: [0.0002]
[2024-05-09 23:51:31,966][train_prior.py][line:134][INFO] Epoch:00, 02720/64000, loss: 108.3835, time: 7.085, lr: [0.0002]
[2024-05-09 23:51:39,217][train_prior.py][line:134][INFO] Epoch:00, 02880/64000, loss: 108.2322, time: 7.250, lr: [0.0002]
[2024-05-09 23:51:46,276][train_prior.py][line:134][INFO] Epoch:00, 03040/64000, loss: 108.2839, time: 7.059, lr: [0.0002]
[2024-05-09 23:51:53,413][train_prior.py][line:134][INFO] Epoch:00, 03200/64000, loss: 108.3328, time: 7.137, lr: [0.0002]
[2024-05-09 23:52:00,616][train_prior.py][line:134][INFO] Epoch:00, 03360/64000, loss: 108.0432, time: 7.204, lr: [0.0002]
[2024-05-09 23:52:07,885][train_prior.py][line:134][INFO] Epoch:00, 03520/64000, loss: 108.0723, time: 7.268, lr: [0.0002]
[2024-05-09 23:52:15,081][train_prior.py][line:134][INFO] Epoch:00, 03680/64000, loss: 107.8279, time: 7.197, lr: [0.0002]
[2024-05-09 23:52:22,256][train_prior.py][line:134][INFO] Epoch:00, 03840/64000, loss: 107.8322, time: 7.175, lr: [0.0002]
[2024-05-09 23:52:29,414][train_prior.py][line:134][INFO] Epoch:00, 04000/64000, loss: 108.0657, time: 7.158, lr: [0.0002]
[2024-05-09 23:52:36,488][train_prior.py][line:134][INFO] Epoch:00, 04160/64000, loss: 108.1482, time: 7.074, lr: [0.0002]
[2024-05-09 23:52:43,506][train_prior.py][line:134][INFO] Epoch:00, 04320/64000, loss: 107.9701, time: 7.019, lr: [0.0002]
[2024-05-09 23:52:50,553][train_prior.py][line:134][INFO] Epoch:00, 04480/64000, loss: 107.6660, time: 7.047, lr: [0.0002]
[2024-05-09 23:52:57,660][train_prior.py][line:134][INFO] Epoch:00, 04640/64000, loss: 107.4884, time: 7.107, lr: [0.0002]
[2024-05-09 23:53:04,761][train_prior.py][line:134][INFO] Epoch:00, 04800/64000, loss: 107.2541, time: 7.101, lr: [0.0002]
[2024-05-09 23:53:11,908][train_prior.py][line:134][INFO] Epoch:00, 04960/64000, loss: 106.9925, time: 7.147, lr: [0.0002]
[2024-05-09 23:53:19,037][train_prior.py][line:134][INFO] Epoch:00, 05120/64000, loss: 106.7683, time: 7.129, lr: [0.0002]
