[2024-05-11 01:46:38,260][train_prior.py][line:134][INFO] Epoch:00, 00160/64000, loss: 49.3555, time: 15.432, lr: [0.0002]
[2024-05-11 01:46:48,315][train_prior.py][line:134][INFO] Epoch:00, 00320/64000, loss: 37.5590, time: 10.055, lr: [0.0002]
[2024-05-11 01:46:58,941][train_prior.py][line:134][INFO] Epoch:00, 00480/64000, loss: 31.9332, time: 10.626, lr: [0.0002]
[2024-05-11 01:47:08,652][train_prior.py][line:134][INFO] Epoch:00, 00640/64000, loss: 28.2359, time: 9.711, lr: [0.0002]
[2024-05-11 01:47:20,832][train_prior.py][line:134][INFO] Epoch:00, 00800/64000, loss: 25.6294, time: 12.180, lr: [0.0002]
[2024-05-11 01:47:37,369][train_prior.py][line:134][INFO] Epoch:00, 00960/64000, loss: 23.9035, time: 16.537, lr: [0.0002]
[2024-05-11 01:47:46,908][train_prior.py][line:134][INFO] Epoch:00, 01120/64000, loss: 22.3939, time: 9.539, lr: [0.0002]
[2024-05-11 01:47:56,813][train_prior.py][line:134][INFO] Epoch:00, 01280/64000, loss: 21.1147, time: 9.905, lr: [0.0002]
[2024-05-11 01:48:05,713][train_prior.py][line:134][INFO] Epoch:00, 01440/64000, loss: 20.0748, time: 8.900, lr: [0.0002]
[2024-05-11 01:48:23,998][train_prior.py][line:134][INFO] Epoch:00, 01600/64000, loss: 19.2704, time: 18.286, lr: [0.0002]
[2024-05-11 01:48:37,422][train_prior.py][line:134][INFO] Epoch:00, 01760/64000, loss: 18.4917, time: 13.423, lr: [0.0002]
[2024-05-11 01:48:53,740][train_prior.py][line:134][INFO] Epoch:00, 01920/64000, loss: 17.9043, time: 16.319, lr: [0.0002]
[2024-05-11 01:49:07,160][train_prior.py][line:134][INFO] Epoch:00, 02080/64000, loss: 17.3682, time: 13.419, lr: [0.0002]
[2024-05-11 01:49:28,427][train_prior.py][line:134][INFO] Epoch:00, 02240/64000, loss: 16.9369, time: 21.268, lr: [0.0002]
[2024-05-11 01:49:41,263][train_prior.py][line:134][INFO] Epoch:00, 02400/64000, loss: 16.5118, time: 12.836, lr: [0.0002]
[2024-05-11 01:49:51,706][train_prior.py][line:134][INFO] Epoch:00, 02560/64000, loss: 16.0899, time: 10.443, lr: [0.0002]
[2024-05-11 01:50:02,693][train_prior.py][line:134][INFO] Epoch:00, 02720/64000, loss: 15.7853, time: 10.988, lr: [0.0002]
[2024-05-11 01:50:22,013][train_prior.py][line:134][INFO] Epoch:00, 02880/64000, loss: 15.5610, time: 19.320, lr: [0.0002]
[2024-05-11 01:50:31,074][train_prior.py][line:134][INFO] Epoch:00, 03040/64000, loss: 15.3363, time: 9.060, lr: [0.0002]
[2024-05-11 01:50:40,853][train_prior.py][line:134][INFO] Epoch:00, 03200/64000, loss: 15.0560, time: 9.780, lr: [0.0002]
[2024-05-11 01:50:51,897][train_prior.py][line:134][INFO] Epoch:00, 03360/64000, loss: 14.7775, time: 11.044, lr: [0.0002]
[2024-05-11 01:51:02,238][train_prior.py][line:134][INFO] Epoch:00, 03520/64000, loss: 14.5595, time: 10.341, lr: [0.0002]
[2024-05-11 01:51:11,398][train_prior.py][line:134][INFO] Epoch:00, 03680/64000, loss: 14.3556, time: 9.160, lr: [0.0002]
[2024-05-11 01:51:23,345][train_prior.py][line:134][INFO] Epoch:00, 03840/64000, loss: 14.1605, time: 11.947, lr: [0.0002]
[2024-05-11 01:51:29,527][train_prior.py][line:134][INFO] Epoch:00, 04000/64000, loss: 13.9950, time: 6.182, lr: [0.0002]
[2024-05-11 01:51:42,027][train_prior.py][line:134][INFO] Epoch:00, 04160/64000, loss: 13.8307, time: 12.499, lr: [0.0002]
[2024-05-11 01:51:55,346][train_prior.py][line:134][INFO] Epoch:00, 04320/64000, loss: 13.7238, time: 13.319, lr: [0.0002]
[2024-05-11 01:52:06,812][train_prior.py][line:134][INFO] Epoch:00, 04480/64000, loss: 13.5985, time: 11.466, lr: [0.0002]
[2024-05-11 01:52:19,969][train_prior.py][line:134][INFO] Epoch:00, 04640/64000, loss: 13.4521, time: 13.157, lr: [0.0002]
[2024-05-11 01:52:34,650][train_prior.py][line:134][INFO] Epoch:00, 04800/64000, loss: 13.3472, time: 14.681, lr: [0.0002]
[2024-05-11 01:52:41,904][train_prior.py][line:134][INFO] Epoch:00, 04960/64000, loss: 13.2288, time: 7.254, lr: [0.0002]
[2024-05-11 01:52:54,913][train_prior.py][line:134][INFO] Epoch:00, 05120/64000, loss: 13.0879, time: 13.009, lr: [0.0002]
[2024-05-11 01:53:02,865][train_prior.py][line:134][INFO] Epoch:00, 05280/64000, loss: 12.9852, time: 7.952, lr: [0.0002]
[2024-05-11 01:53:09,178][train_prior.py][line:134][INFO] Epoch:00, 05440/64000, loss: 12.9003, time: 6.313, lr: [0.0002]
[2024-05-11 01:53:18,049][train_prior.py][line:134][INFO] Epoch:00, 05600/64000, loss: 12.7860, time: 8.870, lr: [0.0002]
[2024-05-11 01:53:37,092][train_prior.py][line:134][INFO] Epoch:00, 05760/64000, loss: 12.6909, time: 19.044, lr: [0.0002]
[2024-05-11 01:53:45,556][train_prior.py][line:134][INFO] Epoch:00, 05920/64000, loss: 12.5960, time: 8.464, lr: [0.0002]
[2024-05-11 01:53:55,289][train_prior.py][line:134][INFO] Epoch:00, 06080/64000, loss: 12.5257, time: 9.733, lr: [0.0002]
[2024-05-11 01:54:03,611][train_prior.py][line:134][INFO] Epoch:00, 06240/64000, loss: 12.4423, time: 8.323, lr: [0.0002]
[2024-05-11 01:54:14,905][train_prior.py][line:134][INFO] Epoch:00, 06400/64000, loss: 12.3714, time: 11.294, lr: [0.0002]
[2024-05-11 01:54:25,025][train_prior.py][line:134][INFO] Epoch:00, 06560/64000, loss: 12.3271, time: 10.120, lr: [0.0002]
[2024-05-11 01:54:33,260][train_prior.py][line:134][INFO] Epoch:00, 06720/64000, loss: 12.2520, time: 8.235, lr: [0.0002]
[2024-05-11 01:54:42,869][train_prior.py][line:134][INFO] Epoch:00, 06880/64000, loss: 12.1493, time: 9.608, lr: [0.0002]
[2024-05-11 01:54:54,282][train_prior.py][line:134][INFO] Epoch:00, 07040/64000, loss: 12.0742, time: 11.414, lr: [0.0002]
[2024-05-11 01:55:10,696][train_prior.py][line:134][INFO] Epoch:00, 07200/64000, loss: 12.0194, time: 16.413, lr: [0.0002]
[2024-05-11 01:55:21,057][train_prior.py][line:134][INFO] Epoch:00, 07360/64000, loss: 11.9553, time: 10.362, lr: [0.0002]
[2024-05-11 01:55:29,267][train_prior.py][line:134][INFO] Epoch:00, 07520/64000, loss: 11.8959, time: 8.209, lr: [0.0002]
[2024-05-11 01:55:40,958][train_prior.py][line:134][INFO] Epoch:00, 07680/64000, loss: 11.8367, time: 11.691, lr: [0.0002]
[2024-05-11 01:55:54,595][train_prior.py][line:134][INFO] Epoch:00, 07840/64000, loss: 11.8014, time: 13.637, lr: [0.0002]
[2024-05-11 01:56:02,769][train_prior.py][line:134][INFO] Epoch:00, 08000/64000, loss: 11.7372, time: 8.173, lr: [0.0002]
[2024-05-11 01:56:12,902][train_prior.py][line:134][INFO] Epoch:00, 08160/64000, loss: 11.6928, time: 10.133, lr: [0.0002]
[2024-05-11 01:56:22,536][train_prior.py][line:134][INFO] Epoch:00, 08320/64000, loss: 11.6698, time: 9.634, lr: [0.0002]
[2024-05-11 01:56:38,007][train_prior.py][line:134][INFO] Epoch:00, 08480/64000, loss: 11.6583, time: 15.471, lr: [0.0002]
[2024-05-11 01:56:48,390][train_prior.py][line:134][INFO] Epoch:00, 08640/64000, loss: 11.6426, time: 10.383, lr: [0.0002]
[2024-05-11 01:57:01,368][train_prior.py][line:134][INFO] Epoch:00, 08800/64000, loss: 11.6276, time: 12.979, lr: [0.0002]
[2024-05-11 01:57:09,147][train_prior.py][line:134][INFO] Epoch:00, 08960/64000, loss: 11.6092, time: 7.779, lr: [0.0002]
[2024-05-11 01:57:20,677][train_prior.py][line:134][INFO] Epoch:00, 09120/64000, loss: 11.5681, time: 11.530, lr: [0.0002]
[2024-05-11 01:57:29,482][train_prior.py][line:134][INFO] Epoch:00, 09280/64000, loss: 11.5237, time: 8.805, lr: [0.0002]
[2024-05-11 01:57:39,231][train_prior.py][line:134][INFO] Epoch:00, 09440/64000, loss: 11.4647, time: 9.749, lr: [0.0002]
[2024-05-11 01:57:50,445][train_prior.py][line:134][INFO] Epoch:00, 09600/64000, loss: 11.4355, time: 11.214, lr: [0.0002]
[2024-05-11 01:58:05,729][train_prior.py][line:134][INFO] Epoch:00, 09760/64000, loss: 11.4004, time: 15.284, lr: [0.0002]
[2024-05-11 01:58:21,506][train_prior.py][line:134][INFO] Epoch:00, 09920/64000, loss: 11.3704, time: 15.777, lr: [0.0002]
[2024-05-11 01:58:33,118][train_prior.py][line:134][INFO] Epoch:00, 10080/64000, loss: 11.3498, time: 11.612, lr: [0.0002]
[2024-05-11 01:58:43,680][train_prior.py][line:134][INFO] Epoch:00, 10240/64000, loss: 11.3032, time: 10.562, lr: [0.0002]
[2024-05-11 01:58:53,909][train_prior.py][line:134][INFO] Epoch:00, 10400/64000, loss: 11.2722, time: 10.229, lr: [0.0002]
[2024-05-11 01:59:04,999][train_prior.py][line:134][INFO] Epoch:00, 10560/64000, loss: 11.2252, time: 11.090, lr: [0.0002]
[2024-05-11 01:59:16,768][train_prior.py][line:134][INFO] Epoch:00, 10720/64000, loss: 11.1928, time: 11.769, lr: [0.0002]
[2024-05-11 01:59:25,856][train_prior.py][line:134][INFO] Epoch:00, 10880/64000, loss: 11.1595, time: 9.088, lr: [0.0002]
[2024-05-11 01:59:45,291][train_prior.py][line:134][INFO] Epoch:00, 11040/64000, loss: 11.1164, time: 19.435, lr: [0.0002]
[2024-05-11 02:00:01,385][train_prior.py][line:134][INFO] Epoch:00, 11200/64000, loss: 11.0946, time: 16.094, lr: [0.0002]
[2024-05-11 02:00:16,295][train_prior.py][line:134][INFO] Epoch:00, 11360/64000, loss: 11.0795, time: 14.910, lr: [0.0002]
[2024-05-11 02:00:29,126][train_prior.py][line:134][INFO] Epoch:00, 11520/64000, loss: 11.0421, time: 12.832, lr: [0.0002]
[2024-05-11 02:00:45,164][train_prior.py][line:134][INFO] Epoch:00, 11680/64000, loss: 11.0131, time: 16.037, lr: [0.0002]
[2024-05-11 02:00:55,379][train_prior.py][line:134][INFO] Epoch:00, 11840/64000, loss: 10.9767, time: 10.215, lr: [0.0002]
[2024-05-11 02:01:05,644][train_prior.py][line:134][INFO] Epoch:00, 12000/64000, loss: 10.9441, time: 10.265, lr: [0.0002]
[2024-05-11 02:01:14,957][train_prior.py][line:134][INFO] Epoch:00, 12160/64000, loss: 10.9000, time: 9.313, lr: [0.0002]
[2024-05-11 02:01:26,675][train_prior.py][line:134][INFO] Epoch:00, 12320/64000, loss: 10.8708, time: 11.718, lr: [0.0002]
[2024-05-11 02:01:34,198][train_prior.py][line:134][INFO] Epoch:00, 12480/64000, loss: 10.8346, time: 7.523, lr: [0.0002]
[2024-05-11 02:01:47,838][train_prior.py][line:134][INFO] Epoch:00, 12640/64000, loss: 10.8033, time: 13.640, lr: [0.0002]
[2024-05-11 02:02:02,451][train_prior.py][line:134][INFO] Epoch:00, 12800/64000, loss: 10.7684, time: 14.613, lr: [0.0002]
[2024-05-11 02:02:11,583][train_prior.py][line:134][INFO] Epoch:00, 12960/64000, loss: 10.7484, time: 9.132, lr: [0.0002]
[2024-05-11 02:02:20,489][train_prior.py][line:134][INFO] Epoch:00, 13120/64000, loss: 10.7163, time: 8.905, lr: [0.0002]
[2024-05-11 02:02:31,551][train_prior.py][line:134][INFO] Epoch:00, 13280/64000, loss: 10.6969, time: 11.062, lr: [0.0002]
[2024-05-11 02:02:42,159][train_prior.py][line:134][INFO] Epoch:00, 13440/64000, loss: 10.6780, time: 10.608, lr: [0.0002]
[2024-05-11 02:02:55,183][train_prior.py][line:134][INFO] Epoch:00, 13600/64000, loss: 10.6636, time: 13.024, lr: [0.0002]
[2024-05-11 02:03:04,295][train_prior.py][line:134][INFO] Epoch:00, 13760/64000, loss: 10.6483, time: 9.112, lr: [0.0002]
[2024-05-11 02:03:15,235][train_prior.py][line:134][INFO] Epoch:00, 13920/64000, loss: 10.6179, time: 10.940, lr: [0.0002]
[2024-05-11 02:03:23,637][train_prior.py][line:134][INFO] Epoch:00, 14080/64000, loss: 10.6120, time: 8.401, lr: [0.0002]
[2024-05-11 02:03:39,517][train_prior.py][line:134][INFO] Epoch:00, 14240/64000, loss: 10.6196, time: 15.880, lr: [0.0002]
[2024-05-11 02:03:48,102][train_prior.py][line:134][INFO] Epoch:00, 14400/64000, loss: 10.6022, time: 8.585, lr: [0.0002]
[2024-05-11 02:03:55,729][train_prior.py][line:134][INFO] Epoch:00, 14560/64000, loss: 10.5750, time: 7.627, lr: [0.0002]
[2024-05-11 02:04:04,717][train_prior.py][line:134][INFO] Epoch:00, 14720/64000, loss: 10.5542, time: 8.988, lr: [0.0002]
[2024-05-11 02:04:20,834][train_prior.py][line:134][INFO] Epoch:00, 14880/64000, loss: 10.5339, time: 16.118, lr: [0.0002]
[2024-05-11 02:04:29,808][train_prior.py][line:134][INFO] Epoch:00, 15040/64000, loss: 10.5157, time: 8.974, lr: [0.0002]
[2024-05-11 02:04:37,876][train_prior.py][line:134][INFO] Epoch:00, 15200/64000, loss: 10.4978, time: 8.067, lr: [0.0002]
[2024-05-11 02:04:47,949][train_prior.py][line:134][INFO] Epoch:00, 15360/64000, loss: 10.4753, time: 10.074, lr: [0.0002]
[2024-05-11 02:05:02,015][train_prior.py][line:134][INFO] Epoch:00, 15520/64000, loss: 10.4578, time: 14.066, lr: [0.0002]
[2024-05-11 02:05:09,301][train_prior.py][line:134][INFO] Epoch:00, 15680/64000, loss: 10.4355, time: 7.286, lr: [0.0002]
[2024-05-11 02:05:17,773][train_prior.py][line:134][INFO] Epoch:00, 15840/64000, loss: 10.4284, time: 8.472, lr: [0.0002]
[2024-05-11 02:05:26,181][train_prior.py][line:134][INFO] Epoch:00, 16000/64000, loss: 10.4055, time: 8.408, lr: [0.0002]
[2024-05-11 02:05:37,953][train_prior.py][line:134][INFO] Epoch:00, 16160/64000, loss: 10.3868, time: 11.773, lr: [0.0002]
[2024-05-11 02:05:45,426][train_prior.py][line:134][INFO] Epoch:00, 16320/64000, loss: 10.3608, time: 7.473, lr: [0.0002]
[2024-05-11 02:05:55,427][train_prior.py][line:134][INFO] Epoch:00, 16480/64000, loss: 10.3448, time: 10.001, lr: [0.0002]
[2024-05-11 02:06:03,903][train_prior.py][line:134][INFO] Epoch:00, 16640/64000, loss: 10.3283, time: 8.476, lr: [0.0002]
[2024-05-11 02:06:14,384][train_prior.py][line:134][INFO] Epoch:00, 16800/64000, loss: 10.3138, time: 10.481, lr: [0.0002]
[2024-05-11 02:06:23,528][train_prior.py][line:134][INFO] Epoch:00, 16960/64000, loss: 10.3020, time: 9.144, lr: [0.0002]
[2024-05-11 02:06:35,170][train_prior.py][line:134][INFO] Epoch:00, 17120/64000, loss: 10.2843, time: 11.642, lr: [0.0002]
[2024-05-11 02:06:46,754][train_prior.py][line:134][INFO] Epoch:00, 17280/64000, loss: 10.2592, time: 11.584, lr: [0.0002]
[2024-05-11 02:06:55,219][train_prior.py][line:134][INFO] Epoch:00, 17440/64000, loss: 10.2459, time: 8.465, lr: [0.0002]
[2024-05-11 02:07:09,714][train_prior.py][line:134][INFO] Epoch:00, 17600/64000, loss: 10.2271, time: 14.496, lr: [0.0002]
[2024-05-11 02:07:22,887][train_prior.py][line:134][INFO] Epoch:00, 17760/64000, loss: 10.2128, time: 13.172, lr: [0.0002]
[2024-05-11 02:07:37,633][train_prior.py][line:134][INFO] Epoch:00, 17920/64000, loss: 10.2004, time: 14.746, lr: [0.0002]
[2024-05-11 02:07:50,828][train_prior.py][line:134][INFO] Epoch:00, 18080/64000, loss: 10.1822, time: 13.195, lr: [0.0002]
[2024-05-11 02:08:03,161][train_prior.py][line:134][INFO] Epoch:00, 18240/64000, loss: 10.1641, time: 12.333, lr: [0.0002]
[2024-05-11 02:08:13,140][train_prior.py][line:134][INFO] Epoch:00, 18400/64000, loss: 10.1477, time: 9.979, lr: [0.0002]
[2024-05-11 02:08:29,391][train_prior.py][line:134][INFO] Epoch:00, 18560/64000, loss: 10.1279, time: 16.252, lr: [0.0002]
[2024-05-11 02:08:49,841][train_prior.py][line:134][INFO] Epoch:00, 18720/64000, loss: 10.1119, time: 20.450, lr: [0.0002]
[2024-05-11 02:09:00,733][train_prior.py][line:134][INFO] Epoch:00, 18880/64000, loss: 10.0924, time: 10.892, lr: [0.0002]
[2024-05-11 02:09:11,080][train_prior.py][line:134][INFO] Epoch:00, 19040/64000, loss: 10.0730, time: 10.347, lr: [0.0002]
[2024-05-11 02:09:22,814][train_prior.py][line:134][INFO] Epoch:00, 19200/64000, loss: 10.0588, time: 11.734, lr: [0.0002]
[2024-05-11 02:09:35,339][train_prior.py][line:134][INFO] Epoch:00, 19360/64000, loss: 10.0387, time: 12.525, lr: [0.0002]
[2024-05-11 02:09:48,161][train_prior.py][line:134][INFO] Epoch:00, 19520/64000, loss: 10.0239, time: 12.822, lr: [0.0002]
[2024-05-11 02:09:57,723][train_prior.py][line:134][INFO] Epoch:00, 19680/64000, loss: 10.0095, time: 9.562, lr: [0.0002]
