[2024-04-28 09:01:55,516][train_prior.py][line:95][INFO] Epoch:00, 00160/64000, loss: 73.5951, time: 8.129, lr: [0.0002]
[2024-04-28 09:01:57,174][train_prior.py][line:95][INFO] Epoch:00, 00320/64000, loss: 52.9898, time: 1.659, lr: [0.0002]
[2024-04-28 09:01:58,834][train_prior.py][line:95][INFO] Epoch:00, 00480/64000, loss: 43.3691, time: 1.660, lr: [0.0002]
[2024-04-28 09:02:00,495][train_prior.py][line:95][INFO] Epoch:00, 00640/64000, loss: 38.4409, time: 1.661, lr: [0.0002]
[2024-04-28 09:02:02,162][train_prior.py][line:95][INFO] Epoch:00, 00800/64000, loss: 35.3104, time: 1.668, lr: [0.0002]
[2024-04-28 09:02:03,831][train_prior.py][line:95][INFO] Epoch:00, 00960/64000, loss: 32.3767, time: 1.669, lr: [0.0002]
[2024-04-28 09:02:05,509][train_prior.py][line:95][INFO] Epoch:00, 01120/64000, loss: 30.0665, time: 1.678, lr: [0.0002]
[2024-04-28 09:02:07,189][train_prior.py][line:95][INFO] Epoch:00, 01280/64000, loss: 28.2714, time: 1.681, lr: [0.0002]
[2024-04-28 09:02:08,868][train_prior.py][line:95][INFO] Epoch:00, 01440/64000, loss: 26.8511, time: 1.679, lr: [0.0002]
[2024-04-28 09:02:10,549][train_prior.py][line:95][INFO] Epoch:00, 01600/64000, loss: 25.7446, time: 1.682, lr: [0.0002]
[2024-04-28 09:02:12,230][train_prior.py][line:95][INFO] Epoch:00, 01760/64000, loss: 24.6964, time: 1.680, lr: [0.0002]
[2024-04-28 09:02:13,915][train_prior.py][line:95][INFO] Epoch:00, 01920/64000, loss: 23.8183, time: 1.685, lr: [0.0002]
[2024-04-28 09:02:15,605][train_prior.py][line:95][INFO] Epoch:00, 02080/64000, loss: 23.1904, time: 1.689, lr: [0.0002]
[2024-04-28 09:02:17,299][train_prior.py][line:95][INFO] Epoch:00, 02240/64000, loss: 22.4968, time: 1.695, lr: [0.0002]
[2024-04-28 09:02:18,997][train_prior.py][line:95][INFO] Epoch:00, 02400/64000, loss: 21.9045, time: 1.698, lr: [0.0002]
[2024-04-28 09:02:20,694][train_prior.py][line:95][INFO] Epoch:00, 02560/64000, loss: 21.2623, time: 1.698, lr: [0.0002]
[2024-04-28 09:02:22,394][train_prior.py][line:95][INFO] Epoch:00, 02720/64000, loss: 20.7248, time: 1.699, lr: [0.0002]
[2024-04-28 09:02:24,095][train_prior.py][line:95][INFO] Epoch:00, 02880/64000, loss: 20.2131, time: 1.701, lr: [0.0002]
