[2024-04-24 18:02:14,547][pib_utils.py][line:327][INFO] ##===========pib-training=============##
[2024-04-24 18:02:44,330][pib_utils.py][line:407][INFO] Epoch:000, 00160/64000, loss: 6.0686, time: 29.782, lr: 0.0002
[2024-04-24 18:02:47,900][pib_utils.py][line:407][INFO] Epoch:000, 00320/64000, loss: 6.3803, time: 3.570, lr: 0.0002
[2024-04-24 18:02:51,462][pib_utils.py][line:407][INFO] Epoch:000, 00480/64000, loss: 6.5964, time: 3.561, lr: 0.0002
[2024-04-24 18:02:55,030][pib_utils.py][line:407][INFO] Epoch:000, 00640/64000, loss: 6.7500, time: 3.569, lr: 0.0002
[2024-04-24 18:02:58,599][pib_utils.py][line:407][INFO] Epoch:000, 00800/64000, loss: 6.6410, time: 3.570, lr: 0.0002
[2024-04-24 18:03:02,131][pib_utils.py][line:407][INFO] Epoch:000, 00960/64000, loss: 6.7017, time: 3.532, lr: 0.0002
[2024-04-24 18:03:05,668][pib_utils.py][line:407][INFO] Epoch:000, 01120/64000, loss: 6.6916, time: 3.537, lr: 0.0002
[2024-04-24 18:03:09,171][pib_utils.py][line:407][INFO] Epoch:000, 01280/64000, loss: 6.7836, time: 3.503, lr: 0.0002
[2024-04-24 18:03:12,829][pib_utils.py][line:407][INFO] Epoch:000, 01440/64000, loss: 6.8421, time: 3.657, lr: 0.0002
[2024-04-24 18:03:16,429][pib_utils.py][line:407][INFO] Epoch:000, 01600/64000, loss: 6.9011, time: 3.600, lr: 0.0002
[2024-04-24 18:03:19,951][pib_utils.py][line:407][INFO] Epoch:000, 01760/64000, loss: 6.8292, time: 3.522, lr: 0.0002
[2024-04-24 18:03:23,469][pib_utils.py][line:407][INFO] Epoch:000, 01920/64000, loss: 6.8198, time: 3.518, lr: 0.0002
[2024-04-24 18:03:27,030][pib_utils.py][line:407][INFO] Epoch:000, 02080/64000, loss: 6.8124, time: 3.561, lr: 0.0002
