[2024-05-04 09:47:30,947][train_prior.py][line:134][INFO] Epoch:00, 00160/64000, loss: 104.2101, time: 9.849, lr: [0.0002]
[2024-05-04 09:47:36,394][train_prior.py][line:134][INFO] Epoch:00, 00320/64000, loss: 98.3404, time: 5.449, lr: [0.0002]
[2024-05-04 09:47:41,718][train_prior.py][line:134][INFO] Epoch:00, 00480/64000, loss: 81.8629, time: 5.324, lr: [0.0002]
[2024-05-04 09:47:46,927][train_prior.py][line:134][INFO] Epoch:00, 00640/64000, loss: 68.3472, time: 5.209, lr: [0.0002]
[2024-05-04 09:47:52,225][train_prior.py][line:134][INFO] Epoch:00, 00800/64000, loss: 59.3104, time: 5.298, lr: [0.0002]
[2024-05-04 09:47:57,514][train_prior.py][line:134][INFO] Epoch:00, 00960/64000, loss: 52.9612, time: 5.289, lr: [0.0002]
[2024-05-04 09:48:02,857][train_prior.py][line:134][INFO] Epoch:00, 01120/64000, loss: 48.2740, time: 5.343, lr: [0.0002]
[2024-05-04 09:48:08,118][train_prior.py][line:134][INFO] Epoch:00, 01280/64000, loss: 44.7944, time: 5.261, lr: [0.0002]
[2024-05-04 09:48:13,643][train_prior.py][line:134][INFO] Epoch:00, 01440/64000, loss: 42.0316, time: 5.525, lr: [0.0002]
[2024-05-04 09:48:19,118][train_prior.py][line:134][INFO] Epoch:00, 01600/64000, loss: 39.8727, time: 5.474, lr: [0.0002]
[2024-05-04 09:48:24,472][train_prior.py][line:134][INFO] Epoch:00, 01760/64000, loss: 37.9120, time: 5.356, lr: [0.0002]
[2024-05-04 09:48:29,823][train_prior.py][line:134][INFO] Epoch:00, 01920/64000, loss: 36.3930, time: 5.350, lr: [0.0002]
[2024-05-04 09:48:35,250][train_prior.py][line:134][INFO] Epoch:00, 02080/64000, loss: 34.9246, time: 5.427, lr: [0.0002]
[2024-05-04 09:48:40,581][train_prior.py][line:134][INFO] Epoch:00, 02240/64000, loss: 33.5453, time: 5.331, lr: [0.0002]
[2024-05-04 09:48:45,916][train_prior.py][line:134][INFO] Epoch:00, 02400/64000, loss: 32.2392, time: 5.335, lr: [0.0002]
[2024-05-04 09:48:51,386][train_prior.py][line:134][INFO] Epoch:00, 02560/64000, loss: 31.0083, time: 5.470, lr: [0.0002]
[2024-05-04 09:48:56,919][train_prior.py][line:134][INFO] Epoch:00, 02720/64000, loss: 29.9361, time: 5.533, lr: [0.0002]
