[2024-05-05 22:55:12,473][train_prior.py][line:134][INFO] Epoch:00, 00160/64000, loss: 109.6844, time: 11.805, lr: [0.0002]
[2024-05-05 22:55:18,281][train_prior.py][line:134][INFO] Epoch:00, 00320/64000, loss: 79.8743, time: 5.809, lr: [0.0002]
[2024-05-05 22:55:24,263][train_prior.py][line:134][INFO] Epoch:00, 00480/64000, loss: 62.3809, time: 5.982, lr: [0.0002]
[2024-05-05 22:55:30,337][train_prior.py][line:134][INFO] Epoch:00, 00640/64000, loss: 52.5406, time: 6.074, lr: [0.0002]
[2024-05-05 22:55:36,299][train_prior.py][line:134][INFO] Epoch:00, 00800/64000, loss: 46.5904, time: 5.963, lr: [0.0002]
[2024-05-05 22:55:42,454][train_prior.py][line:134][INFO] Epoch:00, 00960/64000, loss: 42.4471, time: 6.154, lr: [0.0002]
[2024-05-05 22:55:48,452][train_prior.py][line:134][INFO] Epoch:00, 01120/64000, loss: 39.0522, time: 5.998, lr: [0.0002]
[2024-05-05 22:55:54,422][train_prior.py][line:134][INFO] Epoch:00, 01280/64000, loss: 36.0427, time: 5.970, lr: [0.0002]
[2024-05-05 22:56:00,255][train_prior.py][line:134][INFO] Epoch:00, 01440/64000, loss: 33.8727, time: 5.833, lr: [0.0002]
[2024-05-05 22:56:06,355][train_prior.py][line:134][INFO] Epoch:00, 01600/64000, loss: 32.1135, time: 6.100, lr: [0.0002]
[2024-05-05 22:56:12,387][train_prior.py][line:134][INFO] Epoch:00, 01760/64000, loss: 30.5138, time: 6.033, lr: [0.0002]
[2024-05-05 22:56:18,395][train_prior.py][line:134][INFO] Epoch:00, 01920/64000, loss: 29.0755, time: 6.008, lr: [0.0002]
[2024-05-05 22:56:24,416][train_prior.py][line:134][INFO] Epoch:00, 02080/64000, loss: 27.8768, time: 6.021, lr: [0.0002]
[2024-05-05 22:56:30,318][train_prior.py][line:134][INFO] Epoch:00, 02240/64000, loss: 26.8426, time: 5.903, lr: [0.0002]
[2024-05-05 22:56:36,162][train_prior.py][line:134][INFO] Epoch:00, 02400/64000, loss: 25.8592, time: 5.843, lr: [0.0002]
[2024-05-05 22:56:42,073][train_prior.py][line:134][INFO] Epoch:00, 02560/64000, loss: 25.0046, time: 5.911, lr: [0.0002]
[2024-05-05 22:56:48,056][train_prior.py][line:134][INFO] Epoch:00, 02720/64000, loss: 24.2163, time: 5.984, lr: [0.0002]
[2024-05-05 22:56:53,882][train_prior.py][line:134][INFO] Epoch:00, 02880/64000, loss: 23.5507, time: 5.825, lr: [0.0002]
[2024-05-05 22:56:59,793][train_prior.py][line:134][INFO] Epoch:00, 03040/64000, loss: 22.9088, time: 5.911, lr: [0.0002]
[2024-05-05 22:57:05,672][train_prior.py][line:134][INFO] Epoch:00, 03200/64000, loss: 22.3683, time: 5.879, lr: [0.0002]
[2024-05-05 22:57:11,731][train_prior.py][line:134][INFO] Epoch:00, 03360/64000, loss: 21.8218, time: 6.060, lr: [0.0002]
[2024-05-05 22:57:17,653][train_prior.py][line:134][INFO] Epoch:00, 03520/64000, loss: 21.2998, time: 5.921, lr: [0.0002]
[2024-05-05 22:57:23,683][train_prior.py][line:134][INFO] Epoch:00, 03680/64000, loss: 20.8052, time: 6.030, lr: [0.0002]
[2024-05-05 22:57:29,567][train_prior.py][line:134][INFO] Epoch:00, 03840/64000, loss: 20.3386, time: 5.884, lr: [0.0002]
[2024-05-05 22:57:35,524][train_prior.py][line:134][INFO] Epoch:00, 04000/64000, loss: 19.9363, time: 5.957, lr: [0.0002]
[2024-05-05 22:57:41,526][train_prior.py][line:134][INFO] Epoch:00, 04160/64000, loss: 19.5900, time: 6.002, lr: [0.0002]
[2024-05-05 22:57:47,524][train_prior.py][line:134][INFO] Epoch:00, 04320/64000, loss: 19.2544, time: 5.997, lr: [0.0002]
[2024-05-05 22:57:53,498][train_prior.py][line:134][INFO] Epoch:00, 04480/64000, loss: 18.9143, time: 5.974, lr: [0.0002]
[2024-05-05 22:57:59,430][train_prior.py][line:134][INFO] Epoch:00, 04640/64000, loss: 18.5644, time: 5.932, lr: [0.0002]
[2024-05-05 22:58:05,537][train_prior.py][line:134][INFO] Epoch:00, 04800/64000, loss: 18.2907, time: 6.107, lr: [0.0002]
[2024-05-05 22:58:11,558][train_prior.py][line:134][INFO] Epoch:00, 04960/64000, loss: 17.9941, time: 6.021, lr: [0.0002]
[2024-05-05 22:58:17,589][train_prior.py][line:134][INFO] Epoch:00, 05120/64000, loss: 17.7450, time: 6.031, lr: [0.0002]
[2024-05-05 22:58:23,497][train_prior.py][line:134][INFO] Epoch:00, 05280/64000, loss: 17.5276, time: 5.909, lr: [0.0002]
[2024-05-05 22:58:29,515][train_prior.py][line:134][INFO] Epoch:00, 05440/64000, loss: 17.3073, time: 6.018, lr: [0.0002]
[2024-05-05 22:58:35,451][train_prior.py][line:134][INFO] Epoch:00, 05600/64000, loss: 17.0959, time: 5.936, lr: [0.0002]
[2024-05-05 22:58:41,197][train_prior.py][line:134][INFO] Epoch:00, 05760/64000, loss: 16.8710, time: 5.746, lr: [0.0002]
[2024-05-05 22:58:47,414][train_prior.py][line:134][INFO] Epoch:00, 05920/64000, loss: 16.6721, time: 6.216, lr: [0.0002]
[2024-05-05 22:58:53,365][train_prior.py][line:134][INFO] Epoch:00, 06080/64000, loss: 16.5038, time: 5.951, lr: [0.0002]
[2024-05-05 22:58:59,349][train_prior.py][line:134][INFO] Epoch:00, 06240/64000, loss: 16.3349, time: 5.985, lr: [0.0002]
[2024-05-05 22:59:05,468][train_prior.py][line:134][INFO] Epoch:00, 06400/64000, loss: 16.1662, time: 6.119, lr: [0.0002]
[2024-05-05 22:59:11,395][train_prior.py][line:134][INFO] Epoch:00, 06560/64000, loss: 15.9987, time: 5.927, lr: [0.0002]
[2024-05-05 22:59:17,312][train_prior.py][line:134][INFO] Epoch:00, 06720/64000, loss: 15.8445, time: 5.917, lr: [0.0002]
[2024-05-05 22:59:23,279][train_prior.py][line:134][INFO] Epoch:00, 06880/64000, loss: 15.7067, time: 5.967, lr: [0.0002]
[2024-05-05 22:59:29,234][train_prior.py][line:134][INFO] Epoch:00, 07040/64000, loss: 15.5509, time: 5.955, lr: [0.0002]
[2024-05-05 22:59:35,190][train_prior.py][line:134][INFO] Epoch:00, 07200/64000, loss: 15.4047, time: 5.956, lr: [0.0002]
[2024-05-05 22:59:41,142][train_prior.py][line:134][INFO] Epoch:00, 07360/64000, loss: 15.2583, time: 5.952, lr: [0.0002]
[2024-05-05 22:59:47,163][train_prior.py][line:134][INFO] Epoch:00, 07520/64000, loss: 15.1354, time: 6.021, lr: [0.0002]
[2024-05-05 22:59:53,192][train_prior.py][line:134][INFO] Epoch:00, 07680/64000, loss: 15.0293, time: 6.028, lr: [0.0002]
[2024-05-05 22:59:59,227][train_prior.py][line:134][INFO] Epoch:00, 07840/64000, loss: 14.9262, time: 6.035, lr: [0.0002]
[2024-05-05 23:00:05,178][train_prior.py][line:134][INFO] Epoch:00, 08000/64000, loss: 14.8183, time: 5.951, lr: [0.0002]
[2024-05-05 23:00:11,147][train_prior.py][line:134][INFO] Epoch:00, 08160/64000, loss: 14.7357, time: 5.969, lr: [0.0002]
[2024-05-05 23:00:17,024][train_prior.py][line:134][INFO] Epoch:00, 08320/64000, loss: 14.6409, time: 5.877, lr: [0.0002]
[2024-05-05 23:00:22,910][train_prior.py][line:134][INFO] Epoch:00, 08480/64000, loss: 14.5364, time: 5.886, lr: [0.0002]
[2024-05-05 23:00:28,934][train_prior.py][line:134][INFO] Epoch:00, 08640/64000, loss: 14.4389, time: 6.024, lr: [0.0002]
[2024-05-05 23:00:34,873][train_prior.py][line:134][INFO] Epoch:00, 08800/64000, loss: 14.3299, time: 5.940, lr: [0.0002]
[2024-05-05 23:00:40,915][train_prior.py][line:134][INFO] Epoch:00, 08960/64000, loss: 14.2452, time: 6.042, lr: [0.0002]
[2024-05-05 23:00:46,819][train_prior.py][line:134][INFO] Epoch:00, 09120/64000, loss: 14.1584, time: 5.904, lr: [0.0002]
[2024-05-05 23:00:52,923][train_prior.py][line:134][INFO] Epoch:00, 09280/64000, loss: 14.0831, time: 6.104, lr: [0.0002]
[2024-05-05 23:00:59,053][train_prior.py][line:134][INFO] Epoch:00, 09440/64000, loss: 13.9983, time: 6.130, lr: [0.0002]
[2024-05-05 23:01:05,201][train_prior.py][line:134][INFO] Epoch:00, 09600/64000, loss: 13.9324, time: 6.148, lr: [0.0002]
[2024-05-05 23:01:11,227][train_prior.py][line:134][INFO] Epoch:00, 09760/64000, loss: 13.8628, time: 6.026, lr: [0.0002]
[2024-05-05 23:01:17,202][train_prior.py][line:134][INFO] Epoch:00, 09920/64000, loss: 13.7906, time: 5.975, lr: [0.0002]
[2024-05-05 23:01:23,263][train_prior.py][line:134][INFO] Epoch:00, 10080/64000, loss: 13.7103, time: 6.061, lr: [0.0002]
[2024-05-05 23:01:29,197][train_prior.py][line:134][INFO] Epoch:00, 10240/64000, loss: 13.6333, time: 5.934, lr: [0.0002]
[2024-05-05 23:01:35,155][train_prior.py][line:134][INFO] Epoch:00, 10400/64000, loss: 13.5690, time: 5.959, lr: [0.0002]
[2024-05-05 23:01:41,145][train_prior.py][line:134][INFO] Epoch:00, 10560/64000, loss: 13.4935, time: 5.990, lr: [0.0002]
[2024-05-05 23:01:47,077][train_prior.py][line:134][INFO] Epoch:00, 10720/64000, loss: 13.4291, time: 5.932, lr: [0.0002]
[2024-05-05 23:01:53,031][train_prior.py][line:134][INFO] Epoch:00, 10880/64000, loss: 13.3689, time: 5.954, lr: [0.0002]
[2024-05-05 23:01:59,010][train_prior.py][line:134][INFO] Epoch:00, 11040/64000, loss: 13.3138, time: 5.978, lr: [0.0002]
[2024-05-05 23:02:04,885][train_prior.py][line:134][INFO] Epoch:00, 11200/64000, loss: 13.2532, time: 5.875, lr: [0.0002]
[2024-05-05 23:02:10,951][train_prior.py][line:134][INFO] Epoch:00, 11360/64000, loss: 13.1956, time: 6.067, lr: [0.0002]
[2024-05-05 23:02:16,892][train_prior.py][line:134][INFO] Epoch:00, 11520/64000, loss: 13.1398, time: 5.941, lr: [0.0002]
[2024-05-05 23:02:22,850][train_prior.py][line:134][INFO] Epoch:00, 11680/64000, loss: 13.0849, time: 5.958, lr: [0.0002]
[2024-05-05 23:02:28,884][train_prior.py][line:134][INFO] Epoch:00, 11840/64000, loss: 13.0256, time: 6.034, lr: [0.0002]
[2024-05-05 23:02:34,939][train_prior.py][line:134][INFO] Epoch:00, 12000/64000, loss: 12.9654, time: 6.056, lr: [0.0002]
[2024-05-05 23:02:40,973][train_prior.py][line:134][INFO] Epoch:00, 12160/64000, loss: 12.9041, time: 6.034, lr: [0.0002]
[2024-05-05 23:02:47,007][train_prior.py][line:134][INFO] Epoch:00, 12320/64000, loss: 12.8536, time: 6.034, lr: [0.0002]
[2024-05-05 23:02:52,980][train_prior.py][line:134][INFO] Epoch:00, 12480/64000, loss: 12.8021, time: 5.973, lr: [0.0002]
[2024-05-05 23:02:59,045][train_prior.py][line:134][INFO] Epoch:00, 12640/64000, loss: 12.7580, time: 6.065, lr: [0.0002]
[2024-05-05 23:03:05,094][train_prior.py][line:134][INFO] Epoch:00, 12800/64000, loss: 12.7156, time: 6.049, lr: [0.0002]
[2024-05-05 23:03:11,143][train_prior.py][line:134][INFO] Epoch:00, 12960/64000, loss: 12.6677, time: 6.049, lr: [0.0002]
[2024-05-05 23:03:17,175][train_prior.py][line:134][INFO] Epoch:00, 13120/64000, loss: 12.6320, time: 6.032, lr: [0.0002]
[2024-05-05 23:03:23,161][train_prior.py][line:134][INFO] Epoch:00, 13280/64000, loss: 12.5929, time: 5.986, lr: [0.0002]
[2024-05-05 23:03:29,226][train_prior.py][line:134][INFO] Epoch:00, 13440/64000, loss: 12.5578, time: 6.065, lr: [0.0002]
[2024-05-05 23:03:35,172][train_prior.py][line:134][INFO] Epoch:00, 13600/64000, loss: 12.5198, time: 5.946, lr: [0.0002]
[2024-05-05 23:03:41,199][train_prior.py][line:134][INFO] Epoch:00, 13760/64000, loss: 12.4819, time: 6.026, lr: [0.0002]
[2024-05-05 23:03:47,199][train_prior.py][line:134][INFO] Epoch:00, 13920/64000, loss: 12.4451, time: 6.001, lr: [0.0002]
[2024-05-05 23:03:53,093][train_prior.py][line:134][INFO] Epoch:00, 14080/64000, loss: 12.4102, time: 5.894, lr: [0.0002]
[2024-05-05 23:03:58,979][train_prior.py][line:134][INFO] Epoch:00, 14240/64000, loss: 12.3647, time: 5.886, lr: [0.0002]
[2024-05-05 23:04:04,896][train_prior.py][line:134][INFO] Epoch:00, 14400/64000, loss: 12.3260, time: 5.917, lr: [0.0002]
[2024-05-05 23:04:10,855][train_prior.py][line:134][INFO] Epoch:00, 14560/64000, loss: 12.2893, time: 5.960, lr: [0.0002]
[2024-05-05 23:04:16,786][train_prior.py][line:134][INFO] Epoch:00, 14720/64000, loss: 12.2492, time: 5.931, lr: [0.0002]
