[2024-04-29 21:09:39,633][train_prior.py][line:134][INFO] Epoch:00, 00160/64000, loss: 99.2986, time: 11.843, lr: [0.0002]
[2024-04-29 21:09:46,452][train_prior.py][line:134][INFO] Epoch:00, 00320/64000, loss: 89.1993, time: 6.820, lr: [0.0002]
[2024-04-29 21:09:53,310][train_prior.py][line:134][INFO] Epoch:00, 00480/64000, loss: 71.1446, time: 6.858, lr: [0.0002]
[2024-04-29 21:10:00,278][train_prior.py][line:134][INFO] Epoch:00, 00640/64000, loss: 59.7357, time: 6.968, lr: [0.0002]
[2024-04-29 21:10:07,349][train_prior.py][line:134][INFO] Epoch:00, 00800/64000, loss: 51.9363, time: 7.071, lr: [0.0002]
[2024-04-29 21:10:14,383][train_prior.py][line:134][INFO] Epoch:00, 00960/64000, loss: 46.6631, time: 7.033, lr: [0.0002]
[2024-04-29 21:10:21,139][train_prior.py][line:134][INFO] Epoch:00, 01120/64000, loss: 42.9572, time: 6.757, lr: [0.0002]
[2024-04-29 21:10:28,166][train_prior.py][line:134][INFO] Epoch:00, 01280/64000, loss: 40.1733, time: 7.026, lr: [0.0002]
[2024-04-29 21:10:35,057][train_prior.py][line:134][INFO] Epoch:00, 01440/64000, loss: 37.8063, time: 6.891, lr: [0.0002]
[2024-04-29 21:10:42,180][train_prior.py][line:134][INFO] Epoch:00, 01600/64000, loss: 35.8832, time: 7.123, lr: [0.0002]
[2024-04-29 21:10:48,949][train_prior.py][line:134][INFO] Epoch:00, 01760/64000, loss: 34.2151, time: 6.770, lr: [0.0002]
[2024-04-29 21:10:55,668][train_prior.py][line:134][INFO] Epoch:00, 01920/64000, loss: 32.8731, time: 6.719, lr: [0.0002]
[2024-04-29 21:11:01,849][train_prior.py][line:134][INFO] Epoch:00, 02080/64000, loss: 31.4931, time: 6.180, lr: [0.0002]
[2024-04-29 21:11:08,968][train_prior.py][line:134][INFO] Epoch:00, 02240/64000, loss: 30.2039, time: 7.120, lr: [0.0002]
[2024-04-29 21:11:15,556][train_prior.py][line:134][INFO] Epoch:00, 02400/64000, loss: 29.0717, time: 6.587, lr: [0.0002]
[2024-04-29 21:11:22,306][train_prior.py][line:134][INFO] Epoch:00, 02560/64000, loss: 27.9889, time: 6.750, lr: [0.0002]
[2024-04-29 21:11:29,231][train_prior.py][line:134][INFO] Epoch:00, 02720/64000, loss: 27.0645, time: 6.925, lr: [0.0002]
[2024-04-29 21:11:36,332][train_prior.py][line:134][INFO] Epoch:00, 02880/64000, loss: 26.1559, time: 7.101, lr: [0.0002]
[2024-04-29 21:11:42,996][train_prior.py][line:134][INFO] Epoch:00, 03040/64000, loss: 25.4210, time: 6.663, lr: [0.0002]
[2024-04-29 21:11:49,667][train_prior.py][line:134][INFO] Epoch:00, 03200/64000, loss: 24.7260, time: 6.672, lr: [0.0002]
[2024-04-29 21:11:56,533][train_prior.py][line:134][INFO] Epoch:00, 03360/64000, loss: 24.1591, time: 6.865, lr: [0.0002]
[2024-04-29 21:12:03,247][train_prior.py][line:134][INFO] Epoch:00, 03520/64000, loss: 23.5744, time: 6.715, lr: [0.0002]
[2024-04-29 21:12:10,414][train_prior.py][line:134][INFO] Epoch:00, 03680/64000, loss: 23.0221, time: 7.167, lr: [0.0002]
[2024-04-29 21:12:17,211][train_prior.py][line:134][INFO] Epoch:00, 03840/64000, loss: 22.5173, time: 6.797, lr: [0.0002]
[2024-04-29 21:12:24,501][train_prior.py][line:134][INFO] Epoch:00, 04000/64000, loss: 22.0800, time: 7.290, lr: [0.0002]
[2024-04-29 21:12:31,538][train_prior.py][line:134][INFO] Epoch:00, 04160/64000, loss: 21.6428, time: 7.036, lr: [0.0002]
[2024-04-29 21:12:38,071][train_prior.py][line:134][INFO] Epoch:00, 04320/64000, loss: 21.2295, time: 6.534, lr: [0.0002]
[2024-04-29 21:12:45,122][train_prior.py][line:134][INFO] Epoch:00, 04480/64000, loss: 20.8381, time: 7.051, lr: [0.0002]
